movie_name,Country,Release Date,IMDB Rating,Metascore,TomatoMeter,production_budget,domestic_box_office,international_box_office,rating,genre,Total Box Office,ROI
Furious 7,"USA, China, Japan, Canada, United Arab Emirates",03 Apr 2015,7.4,59,7%,190000000,353007020,1165715774,PG-13,Action,1518722794,799.33%
X-Men: Days of Future Past,"USA, UK, Canada",23 May 2014,7.3,66,87%,200000000,233921534,513941241,PG-13,Action,747862775,373.93%
Jurassic World,USA,12 Jun 2015,5.3,32,30%,215000000,652270625,996584239,PG-13,Action,1648854864,766.91%
The Hobbit: The Battle of the Five Armies,"New Zealand, USA",17 Dec 2014,6.4,63,7%,250000000,255119788,690457833,PG-13,Adventure,945577621,378.23%
Avengers: Age of Ultron,USA,01 May 2015,4.8,34,11%,330600000,459005868,944008095,PG-13,Action,1403013963,424.38%
Sinister 2,"USA, UK, Canada",21 Aug 2015,5.1,28,94%,10000000,27740955,26363270,R,Horror,54104225,541.04%
Free Fire,UK,21 Apr 2017,6.1,52,58%,10000000,1799322,1994417,R,Action,3793739,37.94%
The Forest,USA,08 Jan 2016,6.6,51,85%,10000000,26594261,14154969,PG-13,Thriller/Suspense,40749230,407.49%
When the Bough Breaks,USA,09 Sep 2016,4.8,25,98%,10000000,29747603,1020846,PG-13,Thriller/Suspense,30768449,307.68%
The Second Best Exotic Marigold Hotel,"UK, USA",06 Mar 2015,6.0,42,58%,10000000,33078266,57306040,PG,Comedy,90384306,903.84%
Shut In,"Canada, France, USA, India",11 Nov 2016,5.3,24,64%,10000000,6900335,4460330,R,Thriller/Suspense,11360665,113.61%
Everybody Wants Some!!,USA,07 Apr 2016,5.9,21,87%,10000000,3400278,2036848,R,Comedy,5437126,54.37%
The Boy,"USA, Canada, China",22 Jan 2016,7.2,94,45%,10000000,35819556,32401396,PG-13,Horror,68220952,682.21%
Misconduct,USA,05 Feb 2016,7.1,47,95%,11000000,0,2352511,R,Thriller/Suspense,2352511,21.39%
Dirty Grandpa,"USA, UK",22 Jan 2016,8.0,69,71%,11500000,35593113,69485336,R,Comedy,105078449,913.73%
Carol,"UK, USA, Australia",15 Jan 2016,6.3,N/A,93%,11800000,12711491,30132030,R,Drama,42843521,363.08%
The Dressmaker,Australia,29 Oct 2015,6.0,N/A,40%,11900000,2022115,22019502,R,Drama,24041617,202.03%
Lion,"UK, Australia, USA",06 Jan 2017,6.3,56,20%,12000000,51739495,97831225,PG-13,Drama,149570720,1246.42%
10 Days in a Madhouse,USA,11 Nov 2015,7.1,58,73%,12000000,14616,0,R,Drama,14616,0.12%
Paper Towns,USA,24 Jul 2015,7.1,44,67%,12000000,32000304,53450180,PG-13,Drama,85450484,712.09%
Bajrangi Bhaijaan,India,17 Jul 2015,7.3,64,0%,13000000,8178001,113600346,Not Rated,Action,121778347,936.76%
Miracles from Heaven,USA,16 Mar 2016,8.1,86,30%,13000000,61705123,12093613,PG,Drama,73798736,567.68%
Eye in the Sky,"UK, Canada",01 Apr 2016,6.0,N/A,70%,13000000,18704596,16698206,R,Thriller/Suspense,35402802,272.33%
Youth,"Italy, France, UK, Switzerland",04 Dec 2015,4.8,38,49%,13000000,2703296,21298277,R,Drama,24001573,184.63%
Room,"Canada, Ireland, UK, USA",22 Jan 2016,6.5,57,53%,13000000,14677674,21585109,R,Drama,36262783,278.94%
Robinson Crusoe,USA,12 Jun 1997,5.6,60,83%,13000000,8005586,34440869,PG,Adventure,42446455,326.51%
The Vatican Tapes,USA,22 Jul 2015,6.2,49,18%,13000000,1784763,13144421,PG-13,Horror,14929184,114.84%
Woodlawn,USA,16 Oct 2015,6.3,32,9%,13000000,14394097,9606,PG,Drama,14403703,110.80%
Magic Mike XXL,USA,01 Jul 2015,3.9,31,18%,14500000,66013057,57647540,R,Comedy,123660597,852.83%
Krampus,USA,04 Dec 2015,6.1,43,65%,15000000,42725475,19062918,PG-13,Black Comedy,61788393,411.92%
Scouts Guide to the Zombie Apocalypse,USA,30 Oct 2015,6.7,N/A,27%,15000000,3703046,11851809,R,Comedy,15554855,103.70%
The Disappointments Room,USA,09 Sep 2016,6.8,62,53%,15000000,2423467,1080294,R,Horror,3503761,23.36%
In Dubious Battle,USA,17 Feb 2017,5.6,33,90%,15000000,0,214182,R,Drama,214182,1.43%
Bleed for This,USA,18 Nov 2016,6.6,76,15%,16000000,5083906,1520020,R,Drama,6603926,41.27%
The Young Messiah,"USA, South Korea",11 Mar 2016,5.8,31,54%,16800000,6469813,843884,PG-13,Drama,7313697,43.53%
Genius,"UK, USA",10 Jun 2016,3.4,21,31%,17000000,1361045,5904238,PG-13,Drama,7265283,42.74%
Midnight Special,"USA, Greece",21 Apr 2016,5.6,36,34%,18000000,3712282,3967968,PG-13,Drama,7680250,42.67%
Love the Coopers,USA,13 Nov 2015,5.9,54,8%,18000000,26302731,15924759,PG-13,Comedy,42227490,234.60%
Norm of the North,"USA, India, Ireland",15 Jan 2016,6.0,37,39%,18000000,17062499,13473161,PG,Adventure,30535660,169.64%
The Perfect Guy,USA,11 Sep 2015,6.3,51,45%,18000000,57027435,3250731,PG-13,Thriller/Suspense,60278166,334.88%
Ricki and the Flash,USA,07 Aug 2015,5.9,67,54%,18000000,26839498,14326535,PG-13,Drama,41166033,228.70%
